year,HaFlood23,permit,trsFields,Water23,KgAIPest,nWater23,nRSimages23,FieldSizeHa,KgHaAIPest,KgHaAIInsectOnly,KgHaAIHerbOnly,KgHaAIInsectFung,KgHaAIFungOnly,MonthActive,TotActiveHaK,MonthMinWater23,DayActive,Month_wOffset,ihsKgHaAIInsectOnly100,ihsKgHaAIHerbOnly100,ihsKgHaAIInsectFung100,ihsKgHaAIFungOnly100,commShort,rcommShort,FarmSizeHa,NearFloodAreaMean,NearFloodAreaMax,Precip_mm
2019,0,1030388,"25S25E33",0,1586.553,0,27,32.37488,49.00568,26.41167,18.86469,0,.503388,1,69.81498,,4,1.1,8.5721235,8.2356096,0,4.6120221,"ALMOND","ALMOND",64.74976,.4133333,.81,285.5
2020,0,1030388,"25S25E33",0,436.6249,0,27,32.37488,13.48653,0,11.98808,0,.1831452,1,113.3868,,7,1.1,0,7.7822307,0,3.601586,"ALMOND","ALMOND",64.74976,.4133333,.81,142.8
2021,0,1030388,"25S25E33",0,348.62,0,27,32.37488,10.76822,.026293,8.607243,0,.2028352,1,128.7666,,4,1.1,1.6942105,7.4509217,0,3.703563,"ALMOND","ALMOND",64.74976,.4133333,.81,163.6
2022,0,1030388,"25S25E33",0,297.9655,0,27,32.37488,9.203603,.6178502,8.585752,0,0,1,130.1414,,3,.9,4.8168736,7.4484219,0,0,"ALMOND","ALMOND",64.74976,.4133333,.81,109.5
2023,0,1030388,"25S25E33",0,33.42514,0,27,32.37488,1.032441,0,1.032441,0,0,1,132.5496,,4,1.1,0,5.3302663,0,0,"UNCULTIVATED AG","UNCULTIVATED AG",64.74976,.4133333,.81,328.5
2019,0,1030388,"25S25E33",0,0,0,27,32.37488,0,0,0,0,0,1,69.81498,,4,1.1,0,0,0,0,"OAT FOR/FOD","OAT FOR/FOD",64.74976,.4033333,.72,282.1256
2020,0,1030388,"25S25E33",0,0,0,27,32.37488,0,0,0,0,0,1,113.3868,,7,1.1,0,0,0,0,"OAT FOR/FOD","OAT FOR/FOD",64.74976,.4033333,.72,143.184
2021,0,1030388,"25S25E33",0,427.9701,0,27,32.37488,13.2192,0,12.69308,0,0,1,128.7666,,4,1.1,0,7.8393745,0,0,"ALMOND","ALMOND",64.74976,.4033333,.72,159.9791
2022,0,1030388,"25S25E33",0,521.1415,0,27,32.37488,16.09709,0,16.09709,0,0,1,130.1414,,3,.9,0,8.0769562,0,0,"ALMOND","ALMOND",64.74976,.4033333,.72,109.0062
2023,0,1030388,"25S25E33",0,1052.464,0,27,32.37488,32.50866,1.150611,17.90786,13.45019,0,1,132.5496,,4,1.1,5.4386293,8.1835572,7.8973108,0,"ALMOND","ALMOND",64.74976,.4033333,.72,329.707
